id_vacante,candidato_erroneo
7,Joseph Davis
32,Ian Smith
43,Lisa Lopez
56,Marilyn Ward
59,Craig Brown
64,Randy Sawyer
73,Jessica Lewis
79,Christina Taylor
96,Rachel Bennett
99,Rodney Elliott
109,Craig Castillo
110,Lisa Murphy
112,James Lopez
113,Connie Lee
122,Jacob Gonzalez
139,Frank Buchanan
164,Cynthia Brown
186,Teresa Vasquez
191,Autumn Krueger
193,William Myers
196,Alexandra Hawkins
197,Travis Bernard
198,Gerald Morris
205,Lisa Thomas
217,Melissa Reilly
221,Justin Wilson
231,Christopher Russell
253,Angel Foster
254,Arthur Sandoval
255,Matthew Wilson
256,David Lopez
264,Corey Turner
268,Vincent Herrera
298,Lorraine Gordon
299,Natasha Brown
316,Ashley Curtis
324,Stephen Arnold
360,Jacob Hawkins
371,Jon Bender
383,Jason Sanchez
384,Dylan Dixon
413,Kim Nicholson
414,Raymond Welch
418,Kari Hogan
424,Isaac White
425,Samuel Williams
428,Douglas Williams
451,Christopher Wilson
453,Juan Morales
474,Nicole Page
484,Nathaniel Moody
512,Miranda Brown
515,Martin Zavala
525,Steven Martin
542,Leroy Hernandez
555,Suzanne Anderson
558,Adam Lyons
572,Rebecca Wallace
594,Amanda Williams
628,Kimberly Lopez
644,Patricia Norman
658,James Rodriguez
663,Stephanie Garza
665,Keith Johnston
691,Scott Shaw
747,David Harvey
754,Harry Lee
768,Brianna Vega
778,Brianna Little
800,Michelle Frye
822,Amy Gomez
825,Colin Barnes
826,John Bailey
835,Mary Oneill
842,Anne Martin
844,Matthew Andrews
860,David Newton
866,Cheryl Barton
868,Brandi Ryan
875,Dana Flynn
884,Olivia Scott
885,Paul Jones
888,April Nguyen
891,Denise Johnson
926,Steven Rose
937,Melissa Kim DDS
946,Caleb Briggs
953,Kevin Lee
1002,Terry Costa
1012,Stacy Nelson
1024,James Hurley
1027,Nicole Hart
1037,Tricia Cruz
1043,Eric Murray
1055,William Herring
1061,Lori Thompson
1070,Sean Johnson
1082,Anthony Hess
1101,Albert Boyer
1122,Justin Rodriguez
1132,Michael Brock
1133,Cathy Solis
1136,Rhonda Salinas
1141,Cheryl Massey
1150,Donna Swanson
1173,Kevin Cohen
1183,Tricia Johnson
1193,Jennifer Kim
1204,Timothy Evans
1213,Zachary Nichols
1225,Lawrence Sims
1229,Victoria Jones
1231,Gilbert Pierce
1241,Luke Wilson
1270,Isaac Scott
1276,Mark Clayton
1290,Francisco Sheppard
1296,Jason Pennington
1297,Anna Franklin
1303,Christopher Rowe
1306,Jessica Chen
1315,James Jordan
1318,Leslie Calderon
1328,Brent Perez
1332,Tina Trujillo
1338,Amanda Hensley
1359,Melanie Mahoney
1366,Ashley Newton
1369,Amanda Hicks
1372,Rodney Jackson
1381,Samantha Casey
1402,Vincent Leon
1413,Allison Dixon
1442,Thomas Neal
1452,Ronald Colon
1477,Alexis Myers
1478,Amy Moore
1480,Mrs. Dana Harrison
1488,Laura Strickland
1496,Matthew Bennett
1507,Joshua Coleman
1524,Jennifer Johnson
1525,Michael Bailey
1540,Shawn Mcpherson
1560,Sherry Lopez
1585,Raymond Burnett
1593,Cynthia Morton
1596,Lori Carroll
1609,Katie Rodgers
1614,Jessica Martinez
1641,Michelle Carter
1646,Patrick Logan
1662,Stacey Miles
1668,Susan Moore
1671,Natalie Guzman
1679,Luis Gilbert
1686,Cynthia Cole
1692,Thomas Rose
1698,Michelle Davis
1728,Jennifer Stevens
1760,David Nguyen
1773,Mr. Tony Li
1785,Lynn Wade
1792,Eric Solis
1793,Andrew Owen
1817,Kristopher Cline
1847,James Johnson
1852,Stuart Meyer
1854,Michael Snyder
1856,Amber Horne
1858,Heather Smith
1864,Jessica Terrell
1866,Douglas Miller
1869,Wayne Olson
1889,Steven James
1897,Duane Baker
1902,Rebecca Gonzalez
1913,Tyler Martin
1915,George Fry
1917,Gordon Phillips
1920,Kathleen Savage
1948,Wanda Gonzalez
